Transaction_ID,Customer_ID,Product,Date,Amount
TX_70890,CUST_023,Bluetooth Speaker,2026-05-08,174
TX_45195,CUST_020,Webcam,2026-06-27,177
TX_48304,CUST_001,Gaming Headset,2026-06-28,185
TX_96027,CUST_008,HDMI Cable,2026-02-13,43
TX_35351,CUST_014,Wireless Mouse,2026-02-04,229
TX_67458,CUST_029,Laptop Stand,2026-03-31,176
TX_36092,CUST_009,Gaming Headset,2026-02-27,128
TX_70692,CUST_011,Mousepad,2026-06-13,231
TX_28888,CUST_029,USB Cable,2026-05-18,115
TX_95999,CUST_024,Laptop Stand,2026-06-26,113
TX_98726,CUST_004,Mechanical Keyboard,2026-04-06,166
TX_30150,CUST_030,Webcam,2026-01-12,127
TX_65069,CUST_013,Monitor Arm,2026-04-09,119
TX_10728,CUST_017,Gaming Headset,2026-03-25,126
TX_89459,CUST_022,USB Cable,2026-01-19,191
TX_79896,CUST_012,Bluetooth Speaker,2026-05-27,90
TX_64098,CUST_007,Bluetooth Speaker,2026-05-08,66
TX_99112,CUST_026,Webcam,2026-04-27,83
TX_76703,CUST_020,Type-C Hub,2026-02-22,165
TX_31689,CUST_025,Wireless Mouse,2026-06-30,56
TX_33714,CUST_007,Power Bank,2026-05-02,147
TX_82267,CUST_023,Gaming Headset,2026-03-16,160
TX_11542,CUST_009,Monitor Arm,2026-05-25,244
TX_98858,CUST_014,Type-C Hub,2026-06-19,151
TX_64693,CUST_026,Wireless Mouse,2026-01-29,179
TX_93285,CUST_019,Webcam,2026-04-19,79
TX_11324,CUST_020,USB Cable,2026-03-12,231
TX_82124,CUST_004,Mechanical Keyboard,2026-06-08,33
TX_65129,CUST_012,Webcam,2026-04-01,216
TX_14748,CUST_019,Wireless Mouse,2026-07-14,187
TX_65771,CUST_018,Gaming Headset,2026-02-27,162
TX_62224,CUST_008,Wireless Mouse,2026-04-15,181
TX_38016,CUST_003,Webcam,2026-07-09,205
TX_77641,CUST_025,Mousepad,2026-06-15,131
TX_30559,CUST_012,Power Bank,2026-06-22,75
TX_40354,CUST_022,HDMI Cable,2026-06-13,241
TX_62528,CUST_020,Wireless Mouse,2026-02-16,247
TX_78866,CUST_014,USB Cable,2026-01-01,131
TX_20975,CUST_016,Monitor Arm,2026-07-22,26
TX_76203,CUST_016,Mousepad,2026-07-23,166
TX_71529,CUST_021,USB Cable,2026-04-02,178
TX_37355,CUST_008,Mechanical Keyboard,2026-06-27,42
TX_57605,CUST_005,Power Bank,2026-07-11,169
TX_92844,CUST_017,USB Cable,2026-07-24,234
TX_66178,CUST_013,HDMI Cable,2026-05-14,96
TX_94791,CUST_005,Webcam,2026-07-13,24
TX_11015,CUST_030,Mousepad,2026-04-19,19
TX_72292,CUST_001,Monitor Arm,2026-05-26,238
TX_82474,CUST_026,Mechanical Keyboard,2026-03-27,73
TX_18702,CUST_017,Laptop Stand,2026-04-08,119
TX_22763,CUST_001,Wireless Mouse,2026-02-24,20
TX_90642,CUST_017,Gaming Headset,2026-05-13,116
TX_14809,CUST_021,Webcam,2026-02-22,179
TX_48765,CUST_010,Mechanical Keyboard,2026-03-26,92
TX_31949,CUST_001,Bluetooth Speaker,2026-07-24,18
TX_46187,CUST_001,Type-C Hub,2026-02-01,48
TX_53125,CUST_008,Wireless Mouse,2026-06-11,196
TX_83963,CUST_003,Gaming Headset,2026-01-12,207
TX_63871,CUST_005,Wireless Mouse,2026-02-26,159
TX_47441,CUST_015,Mechanical Keyboard,2026-03-26,156
TX_88587,CUST_011,USB Cable,2026-06-15,206
TX_16941,CUST_002,Mechanical Keyboard,2026-04-08,96
TX_93251,CUST_015,Mechanical Keyboard,2026-07-10,240
TX_80390,CUST_025,Gaming Headset,2026-03-20,44
TX_49811,CUST_010,Mousepad,2026-05-13,43
TX_29963,CUST_010,HDMI Cable,2026-03-15,31
TX_24388,CUST_020,Gaming Headset,2026-02-03,20
TX_16254,CUST_002,USB Cable,2026-02-12,217
TX_16090,CUST_025,Gaming Headset,2026-03-21,109
TX_51240,CUST_022,Type-C Hub,2026-05-12,118
TX_85697,CUST_003,Mousepad,2026-06-04,107
TX_97044,CUST_029,USB Cable,2026-05-27,35
TX_89252,CUST_018,USB Cable,2026-03-02,36
TX_61745,CUST_006,Wireless Mouse,2026-01-12,104
TX_33624,CUST_017,Gaming Headset,2026-02-14,169
TX_20478,CUST_026,Laptop Stand,2026-05-01,228
TX_62796,CUST_024,Mousepad,2026-03-04,62
TX_89714,CUST_017,USB Cable,2026-01-01,22
TX_10055,CUST_029,Power Bank,2026-02-16,141
TX_77661,CUST_022,USB Cable,2026-01-28,229
TX_25034,CUST_024,Monitor Arm,2026-06-03,28
TX_92838,CUST_024,Wireless Mouse,2026-01-03,125
TX_44674,CUST_014,Monitor Arm,2026-01-18,52
TX_20267,CUST_015,Wireless Mouse,2026-04-29,243
TX_16229,CUST_010,Webcam,2026-01-17,245
TX_13596,CUST_026,Gaming Headset,2026-01-25,159
TX_92152,CUST_020,Gaming Headset,2026-05-18,81
TX_89905,CUST_013,Gaming Headset,2026-04-21,228
TX_91449,CUST_015,Monitor Arm,2026-04-23,97
TX_58447,CUST_009,Mechanical Keyboard,2026-06-29,40
TX_13812,CUST_002,USB Cable,2026-02-28,123
TX_11605,CUST_025,USB Cable,2026-05-30,35
TX_86125,CUST_023,Gaming Headset,2026-04-04,89
TX_14324,CUST_024,Mousepad,2026-05-11,45
TX_51427,CUST_004,Power Bank,2026-01-06,80
TX_10117,CUST_028,HDMI Cable,2026-03-20,148
TX_63441,CUST_017,Gaming Headset,2026-06-28,76
TX_98236,CUST_015,Gaming Headset,2026-01-26,193
TX_74323,CUST_012,USB Cable,2026-06-03,132
TX_77584,CUST_019,USB Cable,2026-01-20,127
TX_11917,CUST_026,Monitor Arm,2026-02-07,51
TX_57362,CUST_011,HDMI Cable,2026-03-18,249
TX_97958,CUST_001,Mechanical Keyboard,2026-01-10,19
TX_44387,CUST_010,Power Bank,2026-01-13,182
TX_89767,CUST_001,Wireless Mouse,2026-03-14,31
TX_93524,CUST_006,Mechanical Keyboard,2026-04-04,109
TX_77444,CUST_030,Monitor Arm,2026-06-27,92
TX_83698,CUST_024,Power Bank,2026-06-11,90
TX_15951,CUST_003,HDMI Cable,2026-03-05,164
TX_40523,CUST_029,Wireless Mouse,2026-04-15,243
TX_29282,CUST_030,Laptop Stand,2026-06-14,19
TX_26984,CUST_027,Webcam,2026-03-03,146
TX_69207,CUST_013,Webcam,2026-05-26,54
TX_83340,CUST_007,Type-C Hub,2026-02-01,193
TX_19184,CUST_006,Gaming Headset,2026-03-04,157
TX_46455,CUST_025,Mechanical Keyboard,2026-07-13,220
TX_64917,CUST_008,Webcam,2026-06-28,212
TX_97487,CUST_003,Webcam,2026-07-19,56
TX_69379,CUST_020,Laptop Stand,2026-06-06,47
TX_20789,CUST_030,Mousepad,2026-06-13,171
TX_12336,CUST_025,USB Cable,2026-06-04,197
TX_53872,CUST_030,USB Cable,2026-03-07,24
TX_81907,CUST_022,Laptop Stand,2026-06-08,61
TX_30103,CUST_013,Wireless Mouse,2026-07-03,29
TX_13756,CUST_005,Gaming Headset,2026-03-09,90
TX_81315,CUST_002,Wireless Mouse,2026-04-25,178
TX_22999,CUST_011,Bluetooth Speaker,2026-04-14,52
TX_12443,CUST_023,Gaming Headset,2026-02-15,121
TX_27368,CUST_026,Webcam,2026-07-09,224
TX_95451,CUST_001,Wireless Mouse,2026-03-01,185
TX_70279,CUST_012,Webcam,2026-03-09,147
TX_75310,CUST_005,Type-C Hub,2026-04-16,106
TX_54327,CUST_026,Wireless Mouse,2026-02-20,43
TX_86589,CUST_009,HDMI Cable,2026-05-31,15
TX_29256,CUST_005,Power Bank,2026-04-20,178
TX_73374,CUST_001,Mousepad,2026-02-24,129
TX_67545,CUST_021,Mechanical Keyboard,2026-02-22,151
TX_50738,CUST_020,Monitor Arm,2026-06-03,183
TX_18577,CUST_020,Gaming Headset,2026-03-16,52
TX_46368,CUST_007,Mechanical Keyboard,2026-06-11,105
TX_77526,CUST_011,Wireless Mouse,2026-06-28,196
TX_47148,CUST_020,Mechanical Keyboard,2026-03-29,175
TX_37696,CUST_011,Webcam,2026-06-05,128
TX_62853,CUST_007,Power Bank,2026-04-15,191
TX_30806,CUST_022,Wireless Mouse,2026-07-08,118
TX_43719,CUST_001,USB Cable,2026-06-28,137
TX_37952,CUST_019,Mechanical Keyboard,2026-06-07,43
TX_99106,CUST_013,Mechanical Keyboard,2026-05-24,182
TX_38865,CUST_018,USB Cable,2026-04-25,189
TX_48565,CUST_022,Mechanical Keyboard,2026-04-24,236
TX_22342,CUST_019,Wireless Mouse,2026-05-09,22
TX_85629,CUST_007,Monitor Arm,2026-01-10,216
TX_36399,CUST_002,Mechanical Keyboard,2026-03-28,69
TX_86534,CUST_018,Mousepad,2026-01-08,79
TX_66373,CUST_003,USB Cable,2026-07-06,86
TX_34160,CUST_025,Laptop Stand,2026-03-08,65
TX_44911,CUST_028,USB Cable,2026-06-11,49
TX_94458,CUST_024,Monitor Arm,2026-04-30,60
TX_96925,CUST_016,Mechanical Keyboard,2026-06-14,196
TX_26032,CUST_023,Mousepad,2026-01-07,88
TX_51874,CUST_023,Laptop Stand,2026-04-22,139
TX_52880,CUST_004,Type-C Hub,2026-03-23,16
TX_25358,CUST_015,Webcam,2026-01-11,248
TX_24596,CUST_002,Mechanical Keyboard,2026-04-29,154
TX_72516,CUST_005,Mechanical Keyboard,2026-05-17,240
TX_39975,CUST_012,USB Cable,2026-03-27,122
TX_96143,CUST_017,Mousepad,2026-04-30,73
TX_88344,CUST_017,Gaming Headset,2026-07-28,28
TX_33752,CUST_008,Type-C Hub,2026-01-25,117
TX_86908,CUST_022,Type-C Hub,2026-01-04,168
TX_71268,CUST_002,USB Cable,2026-03-16,84
TX_49952,CUST_010,Webcam,2026-06-15,48
TX_11622,CUST_005,Type-C Hub,2026-05-02,90
TX_91182,CUST_021,Wireless Mouse,2026-01-27,71
TX_56828,CUST_006,Monitor Arm,2026-04-08,26
TX_21664,CUST_025,Gaming Headset,2026-05-18,187
TX_46397,CUST_026,Mechanical Keyboard,2026-07-09,136
TX_29250,CUST_002,Wireless Mouse,2026-04-17,207
TX_67492,CUST_021,Webcam,2026-01-26,43
TX_34762,CUST_011,USB Cable,2026-06-13,127
TX_63302,CUST_007,Webcam,2026-02-23,112
TX_99399,CUST_015,Bluetooth Speaker,2026-05-30,83
TX_77298,CUST_001,USB Cable,2026-05-28,225
TX_48890,CUST_020,Wireless Mouse,2026-07-09,123
TX_25048,CUST_002,Webcam,2026-07-13,87
TX_93559,CUST_008,Monitor Arm,2026-03-02,185
TX_38145,CUST_010,Gaming Headset,2026-02-04,145
TX_30581,CUST_005,Wireless Mouse,2026-06-28,236
TX_79626,CUST_002,Wireless Mouse,2026-04-11,58
TX_67134,CUST_017,Wireless Mouse,2026-03-15,71
TX_22254,CUST_012,Gaming Headset,2026-03-24,22
TX_68053,CUST_021,Monitor Arm,2026-04-28,222
TX_87454,CUST_008,USB Cable,2026-03-30,26
TX_37935,CUST_027,Power Bank,2026-04-19,40
TX_97833,CUST_010,Webcam,2026-05-25,165
TX_47198,CUST_021,Gaming Headset,2026-05-15,28
TX_83543,CUST_021,Monitor Arm,2026-04-25,190
TX_64237,CUST_018,Mechanical Keyboard,2026-03-23,237
TX_76150,CUST_020,Laptop Stand,2026-05-26,201
